lin_ssm                | sunspots               | exp_1 |-948.08378 -96.55994 -475.31888 |187.64062 132.24210 127.37376 | 0.60483 0.63679 0.87092 |  0.08293 0.12607 0.20351 | 0  # {'dataset': 'sunspots', 'model_name': 'lin_ssm', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 1, 'du': 1, 'dk': 1, 'init_w_pca': 0, 'init_lin_model': 1, 'results_file': 'sunspots', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_arimax': 1, 'q_arimax': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
linear_hsk_ssm         | sunspots               | exp_1 |-754.41307 -74.32401 -415.15332 |206.47881 171.15678 146.98837 | 0.53652 0.46698 0.92624 |  0.08239 0.09847 0.24981 | 0  # {'dataset': 'sunspots', 'model_name': 'linear_hsk_ssm', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 1, 'du': 1, 'dk': 1, 'init_w_pca': 0, 'init_lin_model': 1, 'results_file': 'sunspots', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_arimax': 1, 'q_arimax': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
arimax                 | sunspots               | exp_1 |-945.41377 -97.05839 -480.84075 |192.25103 141.68856 134.39223 | 0.90646 0.91509 0.95887 |  0.20515 0.31155 0.32008 | 0  # {'dataset': 'sunspots', 'model_name': 'arimax', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 0, 'init_lin_model': 1, 'results_file': 'sunspots', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_arimax': 1, 'q_arimax': '1', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
arimax                 | sunspots               | exp_1 |-934.84721 -94.34878 -475.22059 |181.84002 108.97875 136.25780 | 0.90962 0.91509 0.96028 |  0.20402 0.30984 0.31920 | 0  # {'dataset': 'sunspots', 'model_name': 'arimax', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 0, 'init_lin_model': 1, 'results_file': 'sunspots', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_arimax': 1, 'q_arimax': '2', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
arimax                 | sunspots               | exp_1 |-934.60075 -94.46415 -475.64597 |181.09619 106.05493 136.51549 | 0.91067 0.91038 0.96028 |  0.20399 0.30980 0.31918 | 0  # {'dataset': 'sunspots', 'model_name': 'arimax', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 0, 'init_lin_model': 1, 'results_file': 'sunspots', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_arimax': 1, 'q_arimax': '3', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
arimax                 | sunspots               | exp_1 |-932.49390 -94.28550 -475.46368 |178.30697 98.01977 136.00486 | 0.90857 0.91981 0.96028 |  0.20377 0.30948 0.31900 | 0  # {'dataset': 'sunspots', 'model_name': 'arimax', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 0, 'init_lin_model': 1, 'results_file': 'sunspots', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_arimax': 1, 'q_arimax': '4', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
arimax                 | sunspots               | exp_1 |-930.52510 -96.35174 -476.28263 |177.83651 94.71968 138.36255 | 0.91172 0.91509 0.96028 |  0.20356 0.30917 0.31884 | 0  # {'dataset': 'sunspots', 'model_name': 'arimax', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 0, 'init_lin_model': 1, 'results_file': 'sunspots', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_arimax': 1, 'q_arimax': '5', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
arimax                 | sunspots               | exp_1 |-926.83739 -96.28820 -477.73252 |174.01013 81.33814 142.27624 | 0.91172 0.91981 0.96170 |  0.20316 0.30861 0.31853 | 0  # {'dataset': 'sunspots', 'model_name': 'arimax', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 0, 'init_lin_model': 1, 'results_file': 'sunspots', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_arimax': 1, 'q_arimax': '6', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
arimax                 | sunspots               | exp_1 |-926.83026 -96.16679 -477.68446 |173.92843 80.84354 142.49281 | 0.91172 0.91981 0.96170 |  0.20316 0.30861 0.31853 | 0  # {'dataset': 'sunspots', 'model_name': 'arimax', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 0, 'init_lin_model': 1, 'results_file': 'sunspots', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_arimax': 1, 'q_arimax': '7', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
arimax                 | sunspots               | exp_1 |-935.04779 -94.63254 -476.05651 |181.95425 108.66115 136.54020 | 0.91067 0.91038 0.96028 |  0.20404 0.30988 0.31921 | 0  # {'dataset': 'sunspots', 'model_name': 'arimax', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 0, 'init_lin_model': 1, 'results_file': 'sunspots', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_arimax': 2, 'q_arimax': '1', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
arimax                 | sunspots               | exp_1 |-934.72657 -94.39150 -475.40180 |181.49071 107.58962 136.37965 | 0.90962 0.91509 0.96028 |  0.20401 0.30982 0.31919 | 0  # {'dataset': 'sunspots', 'model_name': 'arimax', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 0, 'init_lin_model': 1, 'results_file': 'sunspots', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_arimax': 2, 'q_arimax': '2', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
