KF                | sunspots               | exp_1 |-948.15723 -97.62806 -488.38933 |195.75343 146.54466 140.91274 | 0.90804 0.92453 0.86099 |  0.20508 0.30922 0.20113 | 0  # {'dataset': 'sunspots', 'model_name': 'KF', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 1, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_05102021.txt', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_VARMA': 1, 'q_VARMA': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
VARMA                 | energy                 | exp_1 |-3275.76515 -487.90246 -1325.10541 |166.18401 148.13100 1744.62842 | 0.91457 0.78285 0.89551 |  0.53797 0.68302 0.53222 | 0  # {'dataset': 'energy', 'model_name': 'VARMA', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_05102021.txt', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_VARMA': 0, 'q_VARMA': '1', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
VARMA                 | energy                 | exp_1 |-2721.82516 -400.81669 -1086.96978 |158.17672 182.64061 2198.46327 | 0.91092 0.78650 0.89716 |  0.49796 0.61443 0.48909 | 0  # {'dataset': 'energy', 'model_name': 'VARMA', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_05102021.txt', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_VARMA': 0, 'q_VARMA': '2', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
VARMA                 | energy                 | exp_1 |-2544.98411 -386.57305 -1035.07464 |150.34905 202.90155 3334.98146 | 0.91356 0.79380 0.90481 |  0.49929 0.61194 0.48978 | 0  # {'dataset': 'energy', 'model_name': 'VARMA', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_05102021.txt', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_VARMA': 0, 'q_VARMA': '3', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
VARMA                 | energy                 | exp_1 |-1018.00418 -151.55150 -457.70216 |205.86216 215.21213 1281.42673 | 0.89062 0.81387 0.88567 |  0.36438 0.44074 0.35870 | 0  # {'dataset': 'energy', 'model_name': 'VARMA', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_05102021.txt', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_VARMA': 1, 'q_VARMA': '0', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
VARMA                 | energy                 | exp_1 |-757.48017 -127.06082 -327.17644 |196.39907 210.97376 1265.84935 | 0.89347 0.81934 0.87965 |  0.35696 0.42873 0.35090 | 0  # {'dataset': 'energy', 'model_name': 'VARMA', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_05102021.txt', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_VARMA': 1, 'q_VARMA': '1', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
VARMA                 | energy                 | exp_1 |-1444103.30011 -323591.68499 -657257.91421 |17575.23190 20057.83163 426862.20713 | 0.21834 0.12226 0.19748 |  3.52133 7.55358 4.01426 | 0  # {'dataset': 'energy', 'model_name': 'VARMA', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_05102021.txt', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_VARMA': 1, 'q_VARMA': '2', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
VARMA                 | energy                 | exp_1 |-735.57690 -129.73175 -331.85131 |196.39795 212.41540 1050.07178 | 0.89550 0.81387 0.87965 |  0.35579 0.42730 0.34976 | 0  # {'dataset': 'energy', 'model_name': 'VARMA', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_05102021.txt', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_VARMA': 1, 'q_VARMA': '3', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
VARMA                 | energy                 | exp_1 |-808.89651 -135.54212 -362.20546 |193.98573 219.43222 1284.78056 | 0.89550 0.81569 0.88293 |  0.35873 0.43296 0.35299 | 0  # {'dataset': 'energy', 'model_name': 'VARMA', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_05102021.txt', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_VARMA': 2, 'q_VARMA': '0', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
VARMA                 | energy                 | exp_1 |-742.60269 -126.46647 -330.60608 |196.09001 214.29717 1210.51943 | 0.89692 0.82482 0.88403 |  0.36118 0.43434 0.35517 | 0  # {'dataset': 'energy', 'model_name': 'VARMA', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_05102021.txt', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_VARMA': 2, 'q_VARMA': '1', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
VARMA                 | energy                 | exp_1 |-696.87443 -119.95199 -308.90664 |196.55068 215.91362 1365.87261 | 0.89529 0.82117 0.88184 |  0.35872 0.43118 0.35269 | 0  # {'dataset': 'energy', 'model_name': 'VARMA', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_05102021.txt', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_VARMA': 2, 'q_VARMA': '2', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
