KF                | sunspots               | exp_1 |-815.18640 -185.45331 -467.06125 |204.87081 108.20108 160.43500 | 0.90662 0.91962 0.86667 |  0.20664 0.31164 0.20266 | 0  # {'dataset': 'sunspots', 'model_name': 'KF', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 1, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_06102021.txt', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_VARMA': 1, 'q_VARMA': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
hKF            | sunspots               | exp_1 |-623.83131 -138.19175 -390.79051 |225.70217 110.78430 173.35984 | 0.91017 0.89362 0.92766 |  0.19723 0.26882 0.25078 | 0  # {'dataset': 'sunspots', 'model_name': 'hKF', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 1, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_06102021.txt', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_VARMA': 1, 'q_VARMA': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
hKF            | energy                 | exp_1 |-2631.99158 -879.05585 -1151.52500 |241.16572 233.96659 133.55908 | 0.91164 0.87044 0.90919 |  0.45667 0.52519 0.44357 | 0  # {'dataset': 'energy', 'model_name': 'hKF', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 1, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_06102021.txt', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_VARMA': 1, 'q_VARMA': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
hKF            | energy                 | exp_1 |-1168.29196 -504.93823 -682.08057 |200.04850 187.05374 125.70937 | 0.92466 0.89142 0.91357 |  0.40154 0.48083 0.38215 | 0  # {'dataset': 'energy', 'model_name': 'hKF', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_06102021.txt', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_VARMA': 1, 'q_VARMA': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
hKF            | energy                 | exp_1 |-541.43902 -263.60593 -259.09910 |187.46973 183.47052 113.50543 | 0.90525 0.88047 0.90536 |  0.36930 0.42571 0.34145 | 0  # {'dataset': 'energy', 'model_name': 'hKF', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 3, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_06102021.txt', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_VARMA': 1, 'q_VARMA': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
hKF            | energy                 | exp_1 |-2033.33096 -751.27095 -1004.12062 |238.71987 226.91226 136.89555 | 0.91667 0.87865 0.90646 |  0.44711 0.52708 0.43359 | 0  # {'dataset': 'energy', 'model_name': 'hKF', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 1, 'du': 2, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_06102021.txt', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_VARMA': 1, 'q_VARMA': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
hKF            | energy                 | exp_1 |-712.96460 -352.30995 -500.49408 |188.99884 184.66654 116.19086 | 0.91347 0.87956 0.87309 |  0.38916 0.44953 0.34494 | 0  # {'dataset': 'energy', 'model_name': 'hKF', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 2, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_06102021.txt', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_VARMA': 1, 'q_VARMA': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
hKF            | energy                 | exp_1 |-533.78285 -267.05534 -234.73057 |177.75859 183.36311 118.04468 | 0.90388 0.87956 0.88731 |  0.38581 0.44221 0.33869 | 0  # {'dataset': 'energy', 'model_name': 'hKF', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 3, 'du': 2, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_06102021.txt', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_VARMA': 1, 'q_VARMA': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
hKF            | energy                 | exp_1 |-1667.84537 -628.56129 -859.57168 |234.41066 223.96034 128.83153 | 0.91553 0.86131 0.88786 |  0.43968 0.49974 0.40747 | 0  # {'dataset': 'energy', 'model_name': 'hKF', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 1, 'du': 3, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_06102021.txt', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_VARMA': 1, 'q_VARMA': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
hKF            | energy                 | exp_1 |-854.50014 -399.80674 -530.06876 |195.53444 185.71912 110.90642 | 0.92603 0.89051 0.89770 |  0.39568 0.45276 0.35125 | 0  # {'dataset': 'energy', 'model_name': 'hKF', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 3, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_06102021.txt', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_VARMA': 1, 'q_VARMA': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
hKF            | energy                 | exp_1 |-467.72929 -261.38183 -202.23752 |185.16883 182.31188 116.54060 | 0.90639 0.87500 0.87582 |  0.38569 0.44259 0.33877 | 0  # {'dataset': 'energy', 'model_name': 'hKF', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 3, 'du': 3, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_06102021.txt', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_VARMA': 1, 'q_VARMA': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
